Xgen2g_56_210x70lammps.data (written by ASE)

6459	atoms
1	atom types
0.0	210	xlo xhi
0.0	70	ylo yhi
0.0	10	zlo zhi


Atoms

	134	1 132.213214 14.4222983 5
	135	1 133.440933 15.0893437 5
	136	1 134.538399 14.422921 5
	137	1 131.167159 10.9039066 5
	138	1 131.086984 12.2654336 5
	139	1 132.313855 12.9750721 5
	140	1 133.359186 12.4134611 5
	141	1 164.362393 25.3453059 5
	142	1 164.619688 27.9663711 5
	143	1 168.455432 19.667378 5
	144	1 141.57061 18.3142375 5
	145	1 140.572928 18.9550274 5
	146	1 117.399667 5.92999948 5
	147	1 118.224452 4.73850872 5
	148	1 115.869998 5.35365856 5
	149	1 127.455351 12.577093 5
	150	1 126.275735 11.6886059 5
	151	1 113.992183 8.1782666 5
	152	1 115.131982 7.33030426 5
	153	1 117.602079 6.72967877 5
	154	1 116.276379 7.87040885 5
	155	1 116.523702 9.01504832 5
	156	1 121.188506 2.96741647 5
	157	1 126.674712 0.113246899 5
	158	1 128.75802 0.516811021 5
	159	1 127.614475 0.897245878 5
	160	1 70.5921104 57.0602782 5
	161	1 68.6419578 55.2300611 5
	162	1 79.0022405 65.8318812 5
	163	1 79.0006378 64.5466395 5
	164	1 118.338823 35.5979288 5
	165	1 78.0214289 63.8279046 5
	166	1 74.9144592 60.0510863 5
	167	1 76.1923104 59.3671077 5
	168	1 76.2985037 58.2701411 5
	169	1 177.365566 47.0165128 5
	170	1 180.036773 42.151947 5
	171	1 186.338146 43.1558593 5
	172	1 185.302575 43.9652015 5
	173	1 169.969281 58.7807296 5
	174	1 169.976651 57.5074001 5
	175	1 175.798567 51.5644612 5
	176	1 181.026363 60.4430133 5
	177	1 177.685094 68.5244879 5
	178	1 177.68824 67.3813081 5
	179	1 171.19604 56.8275916 5
	180	1 175.889606 55.6256312 5
	181	1 176.400095 69.2502161 5
	182	1 182.830401 55.0253952 5
	183	1 160.500794 69.8626065 5
	184	1 157.072652 64.0007117 5
	185	1 150.832442 50.619119 5
	186	1 151.309099 48.3601427 5
	187	1 150.436285 49.2855046 5
	188	1 148.139059 53.4781258 5
	189	1 149.757928 55.1122225 5
	190	1 150.327883 52.8896814 5
	191	1 149.411774 53.8006722 5
	192	1 150.400979 57.6953128 5
	193	1 159.545767 59.1692313 5
	194	1 171.060481 59.4817898 5
	195	1 155.435412 68.1151617 5
	196	1 155.268831 66.8515123 5
	197	1 156.184312 66.0972215 5
	198	1 154.883231 64.2287114 5
	199	1 156.035295 64.7110491 5
	200	1 137.692358 3.36441283 5
	201	1 135.324825 4.37451934 5
	202	1 135.633768 11.0388229 5
	203	1 135.645032 12.4051193 5
	204	1 136.801193 13.0330557 5
	205	1 136.59901 6.41042554 5
	206	1 137.634631 4.45553581 5
	207	1 136.655615 5.07063351 5
	208	1 137.831856 7.07983856 5
	209	1 138.908079 5.19139808 5
	210	1 138.92927 6.37828179 5
	211	1 140.113581 7.04034975 5
	212	1 141.274582 8.90065562 5
	213	1 140.173278 8.28444 5
	214	1 142.509262 8.14268709 5
	215	1 142.398921 6.85606168 5
	216	1 141.284058 6.27140919 5
	217	1 151.369971 11.9494526 5
	218	1 148.093276 8.30570475 5
	219	1 141.381202 14.2415885 5
	220	1 141.31353 12.8538871 5
	221	1 139.296266 16.9626593 5
	222	1 140.323443 16.3144757 5
	223	1 138.057804 16.3719663 5
	224	1 138.021434 14.9995197 5
	225	1 139.11606 14.3232493 5
	226	1 140.272013 14.9146169 5
	227	1 142.403605 10.7864506 5
	228	1 143.537928 12.714641 5
	229	1 142.488962 12.1620774 5
	230	1 158.675497 4.18889339 5
	231	1 157.317786 2.42515896 5
	232	1 157.492467 3.68436217 5
	233	1 158.830885 5.58095247 5
	234	1 159.027132 8.21138364 5
	235	1 155.023575 2.7534572 5
	236	1 153.727925 2.20662278 5
	237	1 152.682299 3.13444738 5
	238	1 134.3918 0.659959856 5
	239	1 136.936761 0.896686024 5
	240	1 136.70263 0.322101867 5
	241	1 134.521948 2.04582781 5
	242	1 135.63439 2.65037854 5
	243	1 136.24464 2.43849261 5
	244	1 141.720782 0.324247107 5
	245	1 140.8065 1.11306383 5
	246	1 158.214504 0.369604485 5
	247	1 158.415466 1.54581875 5
